alpha,cd,cl,cm_pitch
-10,0.1748165,-0.606483,-0.007490758
-8,0.1298909,-0.429849,-0.06316228
-6,0.08570662,-0.1715127,-0.1128015
-4,0.05410004,0.09573929,-0.142704
-2,0.03560836,0.3289326,-0.1559725
0,0.03160945,0.56084,-0.1654251
2,0.03801032,0.7584963,-0.164075
4,0.05839917,0.9268868,-0.1589308
6,0.08678221,1.068938,-0.1494152
8,0.124671,1.191791,-0.142727
10,0.1723865,1.288168,-0.1446127
12,0.233101,1.343922,-0.1657681
14,0.2949917,1.359251,-0.2048662
16,0.3428414,1.32997,-0.2218893
18,0.4051034,1.348146,-0.2438377
20,0.453612,1.3355,-0.2491962
